2026-04-05 21:39:08 | 127.0.0.1 | GET /index.html | 200
2026-04-05 21:39:51 | 127.0.0.1 | GET /index.html | 200
2026-04-05 21:40:13 | 127.0.0.1 | GET /index.html | 304
2026-04-05 21:40:24 | 127.0.0.1 | GET /index.html | 200
2026-04-05 21:40:39 | 127.0.0.1 | HEAD /index.html | 200
2026-04-05 21:40:50 | 127.0.0.1 | HEAD /notexist.html | 404
2026-04-05 21:40:59 | 127.0.0.1 | GET /index.html | 200
2026-04-05 21:40:59 | 127.0.0.1 | GET /index.html | 200
2026-04-05 21:48:59 | 127.0.0.1 | GET /index.html | 304
2026-04-05 21:52:42 | 127.0.0.1 | HEAD /test.jpg | 200
2026-04-05 21:52:52 | 127.0.0.1 | GET /test.jpg | 200
2026-04-05 21:53:05 | 127.0.0.1 | GET /test.jpg | 200
2026-04-05 22:13:19 | 127.0.0.1 | GET /nonexistent.html | 404
2026-04-06 14:32:27 | 127.0.0.1 | GET /index.html | 304
2026-04-06 14:35:28 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:35:30 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:35:44 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:36:03 | 127.0.0.1 | GET /index.html | 304
2026-04-06 14:36:04 | 127.0.0.1 | GET /index.html | 304
2026-04-06 14:38:34 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:42:44 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:42:44 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:43:54 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:43:54 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:44:48 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:50:25 | 127.0.0.1 | GET /index.html | 200
2026-04-06 14:51:22 | 127.0.0.1 | GET /index.html | 200
2026-04-06 15:00:10 | 127.0.0.1 | GET /test.jpg | 200
2026-04-06 15:01:20 | 127.0.0.1 | HEAD /test.jpg | 200
2026-04-06 15:03:56 | 127.0.0.1 | GET /test.jpg | 200
2026-04-06 15:05:21 | 127.0.0.1 | GET /test.jpg | 200
2026-04-06 15:06:43 | 127.0.0.1 | HEAD /test.jpg | 200
2026-04-06 15:07:15 | 127.0.0.1 | HEAD /index.html | 200
2026-04-06 15:10:30 | 127.0.0.1 | POST / | 400
2026-04-06 15:14:29 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:14:42 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:17:53 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:18:31 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:23:17 | 127.0.0.1 | GET /test | 404
2026-04-06 15:25:41 | 127.0.0.1 | GET /test | 404
2026-04-06 15:26:29 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:26:37 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:28:29 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:29:54 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:30:57 | 127.0.0.1 | GET /server.py | 404
2026-04-06 15:48:21 | 127.0.0.1 | GET /../server.py | 403
2026-04-06 15:50:50 | 127.0.0.1 | GET /nonexistent.html | 404
2026-04-06 15:51:02 | 127.0.0.1 | GET /nonexistent.html | 404
2026-04-06 15:52:44 | 127.0.0.1 | HEAD /index.html | 200
2026-04-06 15:53:00 | 127.0.0.1 | GET /index.html | 304
2026-04-06 15:57:13 | 127.0.0.1 | GET /index.html\ | 200
2026-04-06 15:57:17 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:16:23 | 127.0.0.1 | GET /index.html | 304
2026-04-06 17:17:06 | 127.0.0.1 | GET /index.html | 304
2026-04-06 17:19:53 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:20:00 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:21:57 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:21:59 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:25:54 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:26:11 | 127.0.0.1 | GET /index.html | 304
2026-04-06 17:26:43 | 127.0.0.1 | GET /index.html | 200
2026-04-06 17:27:28 | 127.0.0.1 | GET /index.html | 200
